id,created_at,is_repeat,primary_persona,economic_score,identity_score,technology_score,society_score
73bed34a-52c5-4837-8ce8-6108aac31166,2026-04-03 23:07:52.085232,False,Centrist,0,0,0,0
71e23b0a-dc6e-48ca-b8c7-a9d498d4d85a,2026-04-03 23:15:54.970151,False,Collectivist,-3,1,2,-2
e0c6d357-936f-45ff-ada7-53d50fcdbc9f,2026-04-03 23:31:49.381854,True,Centrist,1,-1,-1,1
1f5f0a61-9205-44e2-8eae-f9983a201e1f,2026-04-03 23:32:24.185592,True,Centrist,0,0,0,0
92107537-41e7-4667-b7a4-03753935efa3,2026-04-03 23:34:42.727367,True,Tech Sceptic,1,-1,-2,1
40dd164f-f2dd-4923-8dbb-96b00e7c9f74,2026-04-04 00:44:06.225040,True,Tech Optimist,1,1,4,4
b7be608c-a917-44c2-aa10-e53e3f320655,2026-04-04 07:42:28.408048,True,Centrist,1,1,1,1
ccf070c4-8d9c-4122-8f1b-0bcfd3f4ac87,2026-04-04 11:10:48.847929,True,Libertarian,2,2,-1,0
4a916234-91f3-4e6a-ac6a-54a7bc908893,2026-04-04 11:14:17.260347,False,Libertarian,2,1,-1,-2
496e77c4-b4d5-4cf3-a7bc-76f0a58d4e9d,2026-04-04 11:20:49.552905,True,Libertarian,2,2,2,1
a1b38088-a1ac-4035-83d3-e74d53812bbb,2026-04-04 11:34:35.855699,True,Centrist,1,0,-1,0
c2b6e8ba-f36c-44eb-b774-c1443f640e2e,2026-04-04 11:39:28.197014,True,Centrist,0,0,0,0
6a7c7870-649f-4a20-9628-fb0181470a10,2026-04-04 11:41:23.687803,False,Libertarian,4,-4,0,-4
00f0cfa4-8194-467f-bd61-da38e25d28f4,2026-04-04 13:59:30.789159,True,Centrist,-1,-1,-1,0
537ca953-08af-49c1-92be-747654f460c4,2026-04-04 14:12:29.267777,True,Centrist,1,-1,1,0
2abb0938-91f6-490c-b17b-0e663d59cfb8,2026-04-05 23:33:57.839253,True,Secularist,1,0,-1,-2
ec0ca50a-7160-4b13-8d49-2311baf9af94,2026-04-05 23:35:44.646790,True,Religious,1,0,-1,3
f798c372-7ded-45f5-8ad9-61c1b307149c,2026-04-05 23:42:39.661742,True,Libertarian,2,2,-2,-2
d433b076-d1d0-4121-8d3a-6f1f0783fdfd,2026-04-06 10:42:55.002973,True,Libertarian,2,1,0,2
